user_id,business_id
1,107
1,106
1,103
1,97
1,105
1,100
2,97
3,100
3,101
3,102
3,103
3,99
3,97
3,107
3,106
3,116
3,111
3,112
3,115
4,106
4,107
4,108
4,104
4,100
4,101
4,97
4,103
5,98
5,97
5,101
5,99
5,100
6,103
6,107
6,101
6,106
6,99
6,97
6,100
7,99
7,100
7,102
7,104
7,98
8,98
8,97
9,110
9,101
9,106
9,99
9,103
9,113
9,105
9,108
9,97
9,102
9,111
9,104
10,105
10,114
10,110
10,112
10,111
10,107
10,108
10,101
10,103
10,109
10,98
10,115
10,102
10,113
11,103
11,99
11,113
11,101
11,98
11,104
11,109
11,105
11,112
11,108
11,110
11,97
12,103
12,100
12,101
12,104
12,98
12,97
12,102
13,99
13,100
13,98
13,97
14,103
14,102
14,113
14,104
14,110
14,105
14,111
14,106
14,114
14,108
14,99
14,98
15,104
15,99
15,111
15,101
15,108
15,97
15,109
15,107
15,102
15,105
16,104
16,114
16,109
16,105
16,116
16,108
16,103
16,102
16,106
16,99
16,110
16,112
16,107
17,97
17,98
17,106
17,99
17,101
17,103
17,104
17,105
17,102
18,108
18,110
18,111
18,97
18,106
18,100
18,101
18,105
18,115
18,107
18,103
18,114
19,106
19,103
19,102
19,109
19,108
19,104
19,110
19,105
19,111
19,107
20,98
20,99
20,97
21,103
21,97
21,101
21,100
22,100
22,106
22,104
22,98
22,97
22,99
23,102
23,114
23,110
23,106
23,116
23,104
23,111
23,109
23,117
23,107
23,100
23,113
23,118
24,108
24,111
24,120
24,117
24,100
24,97
24,105
24,98
24,121
24,113
24,115
24,118
24,110
24,116
25,114
25,99
25,100
25,97
25,112
25,98
25,103
25,113
25,115
25,111
25,107
25,116
25,106
26,98
26,108
26,105
26,100
26,99
26,112
26,116
26,97
26,115
26,102
26,101
26,103
26,110
27,99
27,110
27,109
27,97
27,102
27,103
27,107
27,111
27,105
27,108
28,110
28,103
28,112
28,113
28,114
28,106
28,109
28,117
28,107
28,115
28,99
28,116
28,105
29,98
30,97
30,99
30,104
30,101
30,100
30,102
31,105
31,100
31,97
31,99
31,104
31,103
32,101
32,97
32,99
32,104
32,103
32,98
32,100
33,113
33,103
33,104
33,114
33,109
33,98
33,112
33,117
33,102
33,108
33,100
33,99
33,107
33,110
33,106
33,116
34,97
34,106
34,100
34,105
34,108
34,109
34,102
34,98
34,114
34,112
34,107
34,101
34,113
34,115
35,99
35,102
35,109
35,108
35,105
35,101
35,110
35,104
35,97
36,98
36,99
36,101
36,100
37,97
38,112
38,107
38,109
38,100
38,110
38,104
38,116
38,99
38,103
38,114
38,102
38,108
38,119
38,115
39,97
39,102
39,121
39,113
39,119
39,99
39,110
39,120
39,108
39,106
39,104
39,116
39,118
39,100
39,98
40,108
40,120
40,119
40,117
40,104
40,113
40,112
40,110
40,101
40,105
40,118
40,114
40,111
40,102
40,106
41,109
41,97
41,103
41,112
41,100
41,114
41,108
41,105
41,99
41,102
41,101
42,118
42,112
42,104
42,114
42,103
42,106
42,107
42,113
42,99
42,120
42,100
42,111
42,101
42,102
43,105
43,97
43,111
43,102
43,98
43,101
43,99
43,107
43,109
43,106
43,103
44,107
44,115
44,102
44,103
44,113
44,97
44,108
44,114
44,99
44,112
44,106
44,98
44,109
45,101
45,97
45,102
45,100
45,105
45,99
46,113
46,100
46,117
46,107
46,116
46,104
46,118
46,103
46,108
46,119
46,114
46,101
46,102
46,110
46,99
47,100
47,99
47,103
47,98
48,105
48,99
48,97
48,101
48,100
48,104
48,102
48,107
49,100
49,101
49,99
49,104
49,105
49,102
49,97
49,108
49,106
